"RAZON SOCIAL","POTENCIAL UNO","NOMBRE COMERCIAL",RUC,CONSIGNATARIO,"POSICION ARANCELARIA","CODIGO COMPLEMENTARIO","CODIGO SUPLEMENTARIO","DESCRIPCION POSICION","DESCRIPCION DEL DESPACHO",MARCA,MODELO,REFRENDO,ITEM,DAU,"FECHA DESPACHO","FECHA EMBARQUE","FECHA LLEGADA","FECHA LIQUIDACION","FECHA PAGO","FECHA SALIDA ALMACEN",REGIMEN,"NUMERO MANIFIESTO",MANIFIESTO,"CODIGO DOCUMENTO TRANSPORTE","DOCUMENTO TRANSPORTE",ADUANA,"PAIS ORIGEN","PAIS PROCEDENCIA","PAIS EMBARQUE","PUERTO EMBARQUE","VIA TRANSPORTE",CONTENEDORES,DEPOSITO,"FOB U$S","FLETE U$S","SEGURO U$S","CIF U$S",FACTURA,"VALOR FACTURA U$S","BASE IMPONIBLE U$S","KGS NETO","KGS BRUTO",UNIDADES,"TIPO UNIDAD","PRECIO UNITARIO U$S","CANTIDAD COMERCIAL","UNIDAD COMERCIAL","PRECIO UNITARIO COMERCIAL U$S","TIPO UNIDAD NOMENCLADOR",ADVAL,MONEDA,EMBARCADOR,INCOTERM,"CODIGO LIBERACION","ESTADO MERCADERIA","CLASE MERCADERIA","PAIS DESTINO","TOTAL FOB U$S","TOTAL FLETE U$S","TOTAL SEGURO U$S","TOTAL CIF U$S","TOTAL KGS NETO","TOTAL KGS BRUTO","TOTAL BASE IMPONIBLE","TOTAL CANTIDAD BULTOS","TOTAL AJUSTES","TOTAL OTROS AJUSTES",CLASE,VERIFICADOR,"AGENTE AFIANZADO",NAVE,"AGENCIA TRANSPORTE","EMPRESA TRANSPORTE",AFORADOR,"FECHA AFORO","TIPO AFORO","ACTIVIDAD PRINCIPAL DEL IMPORTADOR","DIRECCION DEL IMPORTADOR","DIRECCION DEL CONSIGNATARIO",CONSOLIDADORA
"QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA",,1790580202001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR",,,028201210000938,1,18232015,2012-01-04,2011-11-25,2012-01-01,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002324,,MSCUTO779965,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,CNTAO-QINGDAO,MARITIMO,26.00,,"244,324.80","29,975.27",206.94,"274,507.00",,0.00,0.00,"519,840.00","522,576.00","522,576.00",,0.47,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"MANUCHAR HONG KONG L",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"244,324.80","29,975.27",206.94,"274,507.00","519,840.00","522,576.00",0.00,"54,720.00",0.00,0.00,BOLSA,ADUANA,"01909416: LUIS FERNANDO PROANO ADRIAN","HS SCOTT","MEDITERRANEAN SHIPPING CO.ECUADOR C.A.","MEDITERANEAN SHIPPING",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","AMAZONAS N35-43 Y JUAN PABLO SANZ",,
"DELCORP S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA","DELCORP S.A.",0991265414001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","PRILLED UREA (UREA PERLADA)",,,028201210001338,1,18233914,2012-01-05,2011-12-12,2012-01-06,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002310,,2,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",LATVIA,LATVIA,LVRIX-RIGA,MARITIMO,0.00,,"953,290.25","100,352.00","2,704.66","1,056,346.88",,0.00,0.00,"1,792,000.00","1,792,000.00","1,792,000.00",,0.53,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"AMEROPA AG",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"953,290.25","100,352.00","2,704.66","1,056,346.88","1,792,000.00","1,792,000.00",0.00,1.00,0.00,0.00,"SÓLIDO A GRANEL, PARTÍCULAS GRANDES (NÓDULOS)",ADUANA,"A0000006: MACOBSA S.A.",,"INVESTAMAR S.A.","AGENCIA NO REGULAR",,0000-00-00,"AFORO DOCUMENTAL","VENTA AL POR MAYOR DE FERTILIZANTES","V.E. ESTRADA 114 Y BALSAMOS",,
"AGRIPAC S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA",,0990006687001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,028201210002200,1,18238092,2012-01-06,2011-12-12,2012-01-06,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002310,,3,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",LATVIA,LATVIA,LVRIX-RIGA,MARITIMO,0.00,,"5,589,941.00","588,448.00","11,553.59","6,189,942.50",,0.00,0.00,"10,508,000.00","10,508,000.00","10,508,000.00",,0.53,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"AMEROPA AG",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"5,589,941.00","588,448.00","11,553.59","6,189,942.50","10,508,000.00","10,508,000.00",0.00,1.00,0.00,0.00,"SÓLIDO A GRANEL, PARTÍCULAS FINAS (POLVOS)",ADUANA,"01900613: BALLADARES MEDINA MANUEL ENRIQUE",,"INVESTAMAR S.A.","AGENCIA NO REGULAR",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"FERMAGRI S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA",,1791401344001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)",UREA,,,028201210002890,1,18242303,2012-01-09,2011-11-16,2012-01-04,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002325,,PBNEXQ400,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,CNTAO-QINGDAO,MARITIMO,25.00,,"235,000.00","33,000.00","1,072.00","269,072.00",,0.00,0.00,"500,000.00","502,635.59","500,000.00",,0.47,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"NITRON INTERNATIONAL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"235,000.00","33,000.00","1,072.00","269,072.00","500,000.00","502,635.59",0.00,"52,632.00",0.00,0.00,BOLSA,ADUANA,"01900118: ALBARRACIN BOSCH RAMON GONZALO","CSAV LEBU","TRANSOCEANICA CIA. LTDA.","CIA. SUDAMERICANA DE VAPORES S.A.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","KM. 16 VIA A DAULE CALLE ROSAVIN Y ASBESTOS",,
"DELCORP S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA","DELCORP S.A.",0991265414001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)",UREA,,,028201210003323,1,18245153,2012-01-09,2011-11-23,2012-01-04,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002308,,LYGGYE000029,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,"ZZZZZ-PUERTO DESCONOCIDO",MARITIMO,26.00,,"260,770.62","33,000.00",552.07,"294,322.69",,0.00,0.00,"519,948.00","520,468.00","520,468.00",,0.50,0.00,,0.00,"kg, Kilogramo",0.00,DOL,AGROFERTRANS,,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"260,770.62","33,000.00",552.07,"294,322.69","519,948.00","520,468.00",0.00,"57,772.00",0.00,0.00,BOLSA,ADUANA,"A0000006: MACOBSA S.A.","CSAV LANCO","TERMINAVES S.A.","CHINA SHIPPING CONTAINER LINES LTD (CSCL)",,0000-00-00,"AFORO DOCUMENTAL","VENTA AL POR MAYOR DE FERTILIZANTES","V.E. ESTRADA 114 Y BALSAMOS",,
"DELCORP S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA","DELCORP S.A.",0991265414001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)",UREA,,,028201210003385,1,18245512,2012-01-09,2011-11-18,2012-01-01,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002324,,YGGA007554,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,"ZZZZZ-PUERTO DESCONOCIDO",MARITIMO,26.00,,"260,770.62","33,000.00",552.07,"294,322.69",,0.00,0.00,"519,948.00","520,468.00","520,468.00",,0.50,0.00,,0.00,"kg, Kilogramo",0.00,DOL,AGROFERTRANS,,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"260,770.62","33,000.00",552.07,"294,322.69","519,948.00","520,468.00",0.00,"57,772.00",0.00,0.00,BOLSA,ADUANA,"A0000006: MACOBSA S.A.","HS SCOTT","CMA CGM ECUADOR S.A.",CMA-CGM,,0000-00-00,"AFORO DOCUMENTAL","VENTA AL POR MAYOR DE FERTILIZANTES","V.E. ESTRADA 114 Y BALSAMOS",,
"FERMAGRI S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA",,1791401344001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR",,,028201210003430,1,18245924,2012-01-10,2011-11-19,2012-01-04,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002325,,PBNEXHR00,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,CNTAO-QINGDAO,MARITIMO,25.00,,"240,000.00","33,000.00","1,092.00","274,092.00",,0.00,0.00,"500,000.00","502,635.59","502,635.59",,0.48,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"NITRON INTERNATIONAL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"240,000.00","33,000.00","1,092.00","274,092.00","500,000.00","502,635.59",0.00,"52,632.00",0.00,0.00,BOLSA,ADUANA,"01900118: ALBARRACIN BOSCH RAMON GONZALO","CSAV LEBU","TRANSOCEANICA CIA. LTDA.","CIA. SUDAMERICANA DE VAPORES S.A.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","KM. 16 VIA A DAULE CALLE ROSAVIN Y ASBESTOS",,
"DELCORP S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA","DELCORP S.A.",0991265414001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)",UREA,,,028201210004705,1,18253820,2012-01-12,2011-11-26,2012-01-07,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,000023,,YGGA007583,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,"ZZZZZ-PUERTO DESCONOCIDO",MARITIMO,50.00,,"492,086.75","86,016.77","2,637.50","580,741.00",,0.00,0.00,"1,011,962.00","1,011,962.81","1,011,962.81",,0.49,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"TRANSAMMONIA, INC",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"492,086.75","86,016.77","2,637.50","580,741.00","1,011,962.00","1,011,962.81",0.00,"112,191.00",0.00,0.00,BOLSA,ADUANA,"A0000006: MACOBSA S.A.","HS SCOTT","CMA CGM ECUADOR S.A.",CMA-CGM,,0000-00-00,"AFORO DOCUMENTAL","VENTA AL POR MAYOR DE FERTILIZANTES","V.E. ESTRADA 114 Y BALSAMOS",,
"QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA",,1790580202001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,028201210004932,1,18255318,2012-01-12,2011-12-06,2012-01-09,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,000024,,PBNEYJP00,"GUAYAQUIL MARITIMO",CHINA,CHINA,CHINA,CNTAO-QINGDAO,MARITIMO,20.00,,"174,000.00","28,000.00",367.20,"202,367.20",,0.00,0.00,"400,000.00","402,112.31","402,112.31",,0.43,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"NITRON INTERNATIONAL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"174,000.00","28,000.00",367.20,"202,367.20","400,000.00","402,112.31",0.00,"42,106.00",0.00,0.00,BOLSA,ADUANA,"01909416: LUIS FERNANDO PROANO ADRIAN","CSAV LINGUE","TRANSOCEANICA CIA. LTDA.","CIA. SUDAMERICANA DE VAPORES S.A.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","AMAZONAS N35-43 Y JUAN PABLO SANZ",,
"FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.","FERTILIZANTES ECUATORIANOS C.A. FERTISA",,0991441336001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA 46% PERLADA",,,028201210005298,1,18257868,2012-01-13,2011-12-12,2012-01-10,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,002310,,4,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",LATVIA,LATVIA,LVRIX-RIGA,MARITIMO,0.00,,"2,442,000.00","308,000.00","8,800.00","2,758,800.00",,0.00,0.00,"5,500,000.00","5,500,000.00","5,500,000.00",,0.44,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"AMEROPA AG",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,ECUADOR,"2,442,000.00","308,000.00","8,800.00","2,758,800.00","5,500,000.00","5,500,000.00",0.00,1.00,0.00,0.00,"SÓLIDO A GRANEL, PARTÍCULAS GRANULARES (GRANOS)",ADUANA,"01903863: RIVERA BAJAÑA JORGE RIGOBERTO",SKYROS,"INVESTAMAR S.A.","AGENCIA NO REGULAR",,0000-00-00,"AFORO DOCUMENTAL","0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
