"RAZON SOCIAL","POTENCIAL UNO","NOMBRE COMERCIAL",RUC,CONSIGNATARIO,"POSICION ARANCELARIA","CODIGO COMPLEMENTARIO","CODIGO SUPLEMENTARIO","DESCRIPCION POSICION","DESCRIPCION DEL DESPACHO",MARCA,MODELO,REFRENDO,ITEM,DAU,"FECHA DESPACHO","FECHA EMBARQUE","FECHA LLEGADA","FECHA LIQUIDACION","FECHA PAGO","FECHA SALIDA ALMACEN",REGIMEN,"NUMERO MANIFIESTO",MANIFIESTO,"CODIGO DOCUMENTO TRANSPORTE","DOCUMENTO TRANSPORTE",ADUANA,"PAIS ORIGEN","PAIS PROCEDENCIA","PAIS EMBARQUE","PUERTO EMBARQUE","VIA TRANSPORTE",CONTENEDORES,DEPOSITO,"FOB U$S","FLETE U$S","SEGURO U$S","CIF U$S",FACTURA,"VALOR FACTURA U$S","BASE IMPONIBLE U$S","KGS NETO","KGS BRUTO",UNIDADES,"TIPO UNIDAD","PRECIO UNITARIO U$S","CANTIDAD COMERCIAL","UNIDAD COMERCIAL","PRECIO UNITARIO COMERCIAL U$S","TIPO UNIDAD NOMENCLADOR",ADVAL,MONEDA,EMBARCADOR,INCOTERM,"CODIGO LIBERACION","ESTADO MERCADERIA","CLASE MERCADERIA","PAIS DESTINO","TOTAL FOB U$S","TOTAL FLETE U$S","TOTAL SEGURO U$S","TOTAL CIF U$S","TOTAL KGS NETO","TOTAL KGS BRUTO","TOTAL BASE IMPONIBLE","TOTAL CANTIDAD BULTOS","TOTAL AJUSTES","TOTAL OTROS AJUSTES",CLASE,VERIFICADOR,"AGENTE AFIANZADO",NAVE,"AGENCIA TRANSPORTE","EMPRESA TRANSPORTE",AFORADOR,"FECHA AFORO","TIPO AFORO","ACTIVIDAD PRINCIPAL DEL IMPORTADOR","DIRECCION DEL IMPORTADOR","DIRECCION DEL CONSIGNATARIO",CONSOLIDADORA
"DELCORP S.A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO","DELCORP S.A.",0991265414001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA-COLOR BLANCO, NITROGENO 46.0% MIN GRANULOMETRIA 90.0% MIN",,,028200910000815,1,14279592,2009-01-06,2008-10-27,2008-12-13,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001851,,MSCUVN989404,"GUAYAQUIL MARITIMO",CHINA,"VIET NAM","VIET NAM","VNSGN-HO CHI MINH CITY",MARITIMO,0.00,,"359,550.25","76,110.00","1,157.71","436,817.97",,0.00,0.00,"575,000.00","576,725.00","575,000.00",,0.63,0.00,,0.00,"kg, Kilogramo",0.00,DOL,KEYTRADE,,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","359,550.25","76,110.00","1,157.71","436,817.97","575,000.00","576,725.00",0.00,"11,500.00",0.00,0.00,BOLSA,ADUANA,"01902288: ILLINGWORTH GARCIA CRISTOBAL LUIS","MSC PARANA","MEDITERRANEAN SHIPPING CO.ECUADOR C.A.","MEDITERANEAN SHIPPING",,0000-00-00,"AFORO FISICO","VENTA AL POR MAYOR DE FERTILIZANTES","V.E. ESTRADA 114 Y BALSAMOS",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)",UREA,,,082200910000803,1,14581329,2009-02-19,2009-02-18,2009-02-20,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,000810,,PE-0192-04-2009020,HUAQUILLAS,"RUSSIAN FEDERATION",PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"75,664.81","6,800.00",241.26,"82,706.07",,0.00,0.00,"240,000.00","240,400.00",240.00,,315.27,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU SRL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","75,664.81","6,800.00",241.26,"82,706.07","240,000.00","240,400.00",0.00,"4,800.00",0.00,0.00,"SACO DE TEJIDO PLASTICO",ADUANA,"01903692: PRIETO VEGA LAURA MACLOVIA",,"SERVIMODAL S.A.C.","SERVIMODAL S.A.C.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
"BANCO NACIONAL DE FOMENTO BNF","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,1760002790001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR",,,028200910018185,1,14623238,2009-03-06,2009-03-02,2009-03-10,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,000467,,1,"GUAYAQUIL MARITIMO",VENEZUELA,VENEZUELA,VENEZUELA,"ZZZZZ-PUERTO DESCONOCIDO",MARITIMO,0.00,,"5,781,583.00","748,095.50","17,682.18","6,547,360.50",,0.00,0.00,"20,648,510.00","20,648,510.00","20,648.51",,280.00,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"IPSL INTERNATIONAL P",,"Tarifa 0 IVA, Sector público, cuando concurran las circunstancias legales del Art. 55 LRTI",NUEVO,,"NO ESPECIFICADO","5,781,583.00","748,095.50","17,682.18","6,547,360.50","20,648,510.00","20,648,510.00",0.00,1.00,0.00,0.00,"SIN ENVASAR O SIN EMPAQUETAR",ADUANA,"01903476: PAREDES VINUEZA SEGUNDO BENJAMIN",,"INVESTAMAR S.A.","AGENCIA NO REGULAR",,0000-00-00,"AFORO DOCUMENTAL",,"107 ANTE Y AV 10 DE AGOSTO",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA PARA USO FERTILIZANTE",,,082200910001064,1,14624789,2009-03-06,2009-03-04,2009-03-09,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001118,,028-2009,HUAQUILLAS,PERU,PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"76,244.80","4,800.00",243.45,"81,288.25",,0.00,0.00,"240,000.00","240,400.00","240,000.00",,0.32,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU S.R.",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","76,244.80","4,800.00",243.45,"81,288.25","240,000.00","240,400.00",0.00,"4,800.00",0.00,0.00,SACO,ADUANA,"01906284: NAVARRO RAMON ALBERTO DANILO",,"SANTA ESPERANZA S.R.L.","SANTA ESPERANZA S.R.L.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,082200910001123,1,14633955,2009-03-11,2009-03-10,2009-03-11,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001197,,PE0192042009033,HUAQUILLAS,"RUSSIAN FEDERATION",PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"76,144.81","6,400.00",243.45,"82,788.26",,0.00,0.00,"240,000.00","240,400.00","240,000.00",,0.32,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU SRL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","76,144.81","6,400.00",243.45,"82,788.26","240,000.00","240,400.00",0.00,"4,800.00",0.00,0.00,"SACO DE TEJIDO PLASTICO",ADUANA,"01903692: PRIETO VEGA LAURA MACLOVIA",,"SERVIMODAL S.A.C.","SERVIMODAL S.A.C.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,082200910001185,1,14642013,2009-03-13,2009-03-12,2009-03-13,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001255,,PE-0192-04-2009034,HUAQUILLAS,"RUSSIAN FEDERATION",PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"76,144.80","6,400.00",243.45,"82,788.25",,0.00,0.00,"240,000.00","240,400.00","240,000.00",,0.32,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU SRL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","76,144.80","6,400.00",243.45,"82,788.25","240,000.00","240,400.00",0.00,"4,800.00",0.00,0.00,"SACO DE TEJIDO PLASTICO",ADUANA,"01903692: PRIETO VEGA LAURA MACLOVIA",,"SERVIMODAL S.A.C.","SERVIMODAL S.A.C.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,082200910001213,1,14646654,2009-03-16,2009-03-13,2009-03-16,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001261,,PE-0192-04-2009036,HUAQUILLAS,"RUSSIAN FEDERATION",PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"76,144.81","6,400.00",243.45,"82,788.26",,0.00,0.00,"240,000.00","240,400.00","240,000.00",,0.32,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU SRL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","76,144.81","6,400.00",243.45,"82,788.26","240,000.00","240,400.00",0.00,"4,800.00",0.00,0.00,"SACO DE TEJIDO PLASTICO",ADUANA,"01903692: PRIETO VEGA LAURA MACLOVIA",,"SERVIMODAL S.A.C.","SERVIMODAL S.A.C.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
"FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0991441336001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)",UREA,,,028200910021106,1,14656557,2009-03-18,2009-03-15,2009-03-17,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,000401,,ANRMB93658037002,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",PERU,PERU,PECLL-CALLAO,MARITIMO,44.00,,"392,136.00","22,880.00","1,660.06","416,676.06",,0.00,0.00,"1,000,000.00","1,001,260.00","1,000,000.00",,0.39,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"FERTILIZANTES DEL SU",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","392,136.00","22,880.00","1,660.06","416,676.06","1,000,000.00","1,001,260.00",0.00,"20,000.00",0.00,0.00,SACO,ADUANA,"01904637: VARGAS RODRIGO JULIO DAVID",MAPOCHO,"CROWLEY AMERICAN TRANSPORT, INC, ECUADOR S.A.","ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.",,0000-00-00,"AFORO DOCUMENTAL","0140-ACTIVIDADES DE SERVICIOS AGRICOLAS Y GANADEROS,EXCEPTO","KM 16,5 VIA A DAULE",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,082200910001287,1,14656606,2009-03-18,2009-03-17,2009-03-18,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001334,,PE-0192-04-2009037,HUAQUILLAS,"RUSSIAN FEDERATION",PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"85,681.81","7,200.00",272.67,"93,154.48",,0.00,0.00,"270,000.00","270,450.00","270,000.00",,0.32,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU SRL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","85,681.81","7,200.00",272.67,"93,154.48","270,000.00","270,450.00",0.00,"5,400.00",0.00,0.00,"SACO DE TEJIDO PLASTICO",ADUANA,"01903692: PRIETO VEGA LAURA MACLOVIA",,"SERVIMODAL S.A.C.","SERVIMODAL S.A.C.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
"DUPOCSA PROTECTORES QUIMICOS PARA EL CAMPO S. A.","SERVICIOS AGRICOLAS SOCIEDAD ANONIMA COMERCIAL SERVAGRO",,0990856583001,,3102.10.10.00,0000,0000,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA",,,082200910001338,1,14664041,2009-03-20,2009-03-19,2009-03-20,0000-00-00,0000-00-00,0000-00-00,"IMPORTACION A CONSUMO",,001389,,PE-0192-04-2009041,HUAQUILLAS,"RUSSIAN FEDERATION",PERU,PERU,PEPAI-PAITA,CARRETERA,0.00,,"85,700.71","7,200.00",272.72,"93,173.43",,0.00,0.00,"270,000.00","270,450.00","270,000.00",,0.32,0.00,,0.00,"kg, Kilogramo",0.00,DOL,"ADM ANDINA PERU SRL",,"IVA 0 semillas ,bulbos,plantas,esquejes,raices vivas. cuando concurran las circunstancias legales del Art. 55 LRTI #4",NUEVO,,"NO ESPECIFICADO","85,700.71","7,200.00",272.72,"93,173.43","270,000.00","270,450.00",0.00,"5,400.00",0.00,0.00,"SACO DE TEJIDO PLASTICO",ADUANA,"01903692: PRIETO VEGA LAURA MACLOVIA",,"SERVIMODAL S.A.C.","SERVIMODAL S.A.C.",,0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","PARA EL CAMPO VIA DURAN - TAMBO KM 9, DURAN",,
