"RAZON SOCIAL","POTENCIAL UNO","NOMBRE COMERCIAL",RUC,CONSIGNATARIO,"POSICION ARANCELARIA","CODIGO COMPLEMENTARIO","CODIGO SUPLEMENTARIO","DESCRIPCION POSICION","DESCRIPCION DEL DESPACHO",MARCA,MODELO,REFRENDO,ITEM,DAU,"FECHA DESPACHO","FECHA EMBARQUE","FECHA LLEGADA","FECHA LIQUIDACION","FECHA PAGO","FECHA SALIDA ALMACEN",REGIMEN,"NUMERO MANIFIESTO",MANIFIESTO,"CODIGO DOCUMENTO TRANSPORTE","DOCUMENTO TRANSPORTE",ADUANA,"PAIS ORIGEN","PAIS PROCEDENCIA","PAIS EMBARQUE","PUERTO EMBARQUE","VIA TRANSPORTE",CONTENEDORES,DEPOSITO,"FOB U$S","FLETE U$S","SEGURO U$S","CIF U$S",FACTURA,"VALOR FACTURA U$S","BASE IMPONIBLE U$S","KGS NETO","KGS BRUTO",UNIDADES,"TIPO UNIDAD","PRECIO UNITARIO U$S","CANTIDAD COMERCIAL","UNIDAD COMERCIAL","PRECIO UNITARIO COMERCIAL U$S","TIPO UNIDAD NOMENCLADOR",ADVAL,MONEDA,EMBARCADOR,INCOTERM,"CODIGO LIBERACION","ESTADO MERCADERIA","CLASE MERCADERIA","PAIS DESTINO","TOTAL FOB U$S","TOTAL FLETE U$S","TOTAL SEGURO U$S","TOTAL CIF U$S","TOTAL KGS NETO","TOTAL KGS BRUTO","TOTAL BASE IMPONIBLE","TOTAL CANTIDAD BULTOS","TOTAL AJUSTES","TOTAL OTROS AJUSTES",CLASE,VERIFICADOR,"AGENTE AFIANZADO",NAVE,"AGENCIA TRANSPORTE","EMPRESA TRANSPORTE",AFORADOR,"FECHA AFORO","TIPO AFORO","ACTIVIDAD PRINCIPAL DEL IMPORTADOR","DIRECCION DEL IMPORTADOR","DIRECCION DEL CONSIGNATARIO",CONSOLIDADORA
"AGRIPAC S.A.",,,0990006687001,"AGRIPAC S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO",08220231000171864,1,,2023-02-02,2023-02-02,2023-02-03,2023-02-03,2023-02-03,2023-02-03,"IMPORTACION A CONSUMO",,CEC202346640097,CEC20234664009700010000,PE0002273,HUAQUILLAS,PERU,PERU,PERU,,CARRETERA,0.00,"05901587-OPERADORA Y CONSOLIDADORA INTERNACIONAL DE CARGA E","204,800.00","14,784.00","2,195.84","221,779.84",E001-142,"204,800.00","206,995.84","320,000.00",0.00,"325,000.00","KILOGRAMO BRUTO",0.63,"6,400.00",U,32.00,"kg, Kilogramo",0.00,DOL,"CERES PERU SA",FCA,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",OTROS,,ECUADOR,"204,800.00","14,784.00","2,195.84","221,779.84","320,000.00",0.00,"206,995.84",0.00,0.00,0.00,,,"01900018: GARCIA INTERNATIONAL S.A. AGENTES DE ADUANAS GARINTERADU",CAE0026,,"04904664-ECUATORIANA DE TRANSPORTES DE CARGA ECUATRANSCARGO CIA. LTDA.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"AGRIPAC S.A.",,,0990006687001,"AGRIPAC S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR, NINGUNA",SM,"SIN MODELO,",02820231000183032,1,,2023-02-06,2023-01-04,2023-02-18,2023-02-06,2023-02-07,2023-02-20,"IMPORTACION A CONSUMO",,CEC202377890010,CEC20237789001000010000,1,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","2,149,576.00",0.00,"2,050.41","2,151,626.50",I-23-0000299,0.00,"2,151,626.50","4,400,000.00",0.00,"4,400,000.00","KILOGRAMO BRUTO",0.49,"4,400.00",TM,488.54,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"2,149,576.00",0.00,"2,050.41","2,151,626.50","4,400,000.00",0.00,"2,151,626.50",0.00,0.00,"374,000.00",,,"01777805: ROBLES MEDRANO ANDREA ESTEFANIA",LABRADOR,"02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"AGRIPAC S.A.",,,0990006687001,"AGRIPAC S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO",08220231000192249,1,,2023-02-07,2023-02-07,2023-02-09,2023-02-08,2023-02-08,2023-02-09,"IMPORTACION A CONSUMO",,CEC202346640116,CEC20234664011600010000,PE0002287,HUAQUILLAS,PERU,PERU,PERU,,CARRETERA,0.00,"05901587-OPERADORA Y CONSOLIDADORA INTERNACIONAL DE CARGA E","81,920.00","5,913.60",72.59,"87,906.19",E001-145,0.00,"81,992.59","128,000.00",0.00,"130,000.00","KILOGRAMO BRUTO",0.63,"2,560.00",U,32.00,"kg, Kilogramo",0.00,DOL,"CERES PERU SA",FCA,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",OTROS,,ECUADOR,"81,920.00","5,913.60",72.59,"87,906.19","128,000.00",0.00,"81,992.59",0.00,0.00,0.00,,,"01900018: GARCIA INTERNATIONAL S.A. AGENTES DE ADUANAS GARINTERADU",LAA1368,,"04904664-ECUATORIANA DE TRANSPORTES DE CARGA ECUATRANSCARGO CIA. LTDA.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"AGRIPAC S.A.",,,0990006687001,"AGRIPAC S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO",08220231000192250,1,,2023-02-07,2023-02-07,2023-02-08,2023-02-08,2023-02-08,2023-02-08,"IMPORTACION A CONSUMO",,CEC202346640115,CEC20234664011500010000,PE0002286,HUAQUILLAS,PERU,PERU,PERU,,CARRETERA,0.00,"05901587-OPERADORA Y CONSOLIDADORA INTERNACIONAL DE CARGA E","204,800.00","14,784.00",182.98,"219,766.98",E001-144,0.00,"204,982.98","320,000.00",0.00,"325,000.00","KILOGRAMO BRUTO",0.63,"6,400.00",U,32.00,"kg, Kilogramo",0.00,DOL,"CERES PERU SA",FCA,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",OTROS,,ECUADOR,"204,800.00","14,784.00",182.98,"219,766.98","320,000.00",0.00,"204,982.98",0.00,0.00,0.00,,,"01900018: GARCIA INTERNATIONAL S.A. AGENTES DE ADUANAS GARINTERADU",CAE0765,,"04904664-ECUATORIANA DE TRANSPORTES DE CARGA ECUATRANSCARGO CIA. LTDA.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"FERTISA AGIF C.L.",,,0993208086001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PRILADA A GRANEL, FERTILIZANTE PARA USO AGRICOLA","SIN MARCA","SIN MODELO",02820231000192283,1,,2023-02-08,2023-01-07,2023-02-20,2023-03-31,0000-00-00,2023-02-23,"IMPORTACION A CONSUMO",,CEC202377890011,CEC20237789001100080000,17,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05909272-FERTISA, FERTILIZANTES, TERMINALES I SERVICIOS C.L","1,627,518.38",0.00,"2,309.74","1,629,828.12",I-23-0000128,0.00,"1,629,828.12","3,500,510.00",0.00,"3,500,510.00","KILOGRAMO BRUTO",0.46,"3,500.51",TM,464.94,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"1,627,518.38",0.00,"2,309.74","1,629,828.12","3,500,510.00",0.00,"1,629,828.12",0.00,0.00,"297,543.34",,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.",BUZLUDJA,"02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"FERTISA AGIF C.L.",,,0993208086001,"FERTISA AGIF C.L.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA GRANULAR A GRANEL, GRANULAR UREA IN BULK",NITRON,"SIN MODELO",02820231000198460,1,,2023-02-09,2023-01-04,2023-02-15,2023-03-31,0000-00-00,2023-02-17,"IMPORTACION A CONSUMO",,CEC202377890009,CEC20237789000900010000,3,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05904088-QC TERMINALES ECUADOR S. A. QCTE","784,763.44",0.00,"1,008.74","785,772.12",I-23-0000073,0.00,"785,772.12","1,650,700.00",0.00,"1,650,700.00","KILOGRAMO BRUTO",0.48,"1,650.70",TM,475.41,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CFR,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"784,763.44",0.00,"1,008.74","785,772.12","1,650,700.00",0.00,"785,772.12",0.00,0.00,"140,309.50",,,"01901316: ORGANIZACION COMERCIAL Y ADUANERA MARIO COKA B. MACOBSA S.A.",LABRADOR,"02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.",,0000-00-00,"AFORO AUTOMATICO","5121-VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y D","LOTIZACION GELEFRENT SOLAR 5 Y 6 VIA DURAN BOLICHE KM 8",,
"AGRIPAC S.A.",,,0990006687001,"AGRIPAC S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, PARA USO AGRICOLA","SIN MARCA","SIN MODELO",08220231000201613,1,,2023-02-09,2023-02-09,2023-02-10,2023-02-09,2023-02-10,2023-02-10,"IMPORTACION A CONSUMO",,CEC202346640126,CEC20234664012600010000,PE0002302,HUAQUILLAS,PERU,PERU,PERU,,CARRETERA,0.00,"05901587-OPERADORA Y CONSOLIDADORA INTERNACIONAL DE CARGA E","143,360.00","10,348.80",126.16,"153,834.95",E001-146,0.00,"143,486.16","224,000.00",0.00,"227,500.00","KILOGRAMO BRUTO",0.63,"4,480.00",U,32.00,"kg, Kilogramo",0.00,DOL,"CERES PERU SA",FCA,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",OTROS,,ECUADOR,"143,360.00","10,348.80",126.16,"153,834.95","224,000.00",0.00,"143,486.16",0.00,0.00,0.00,,,"01900018: GARCIA INTERNATIONAL S.A. AGENTES DE ADUANAS GARINTERADU",PAC4166,,"04904664-ECUATORIANA DE TRANSPORTES DE CARGA ECUATRANSCARGO CIA. LTDA.",,0000-00-00,"AFORO AUTOMATICO","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","CORDOVA 623 Y PADRE SOLANO, GUAYAQUIL",,
"PRECISAGRO S.A.",,,1792522005001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, UREA PERLADA","SIN MARCA","SIN MODELO",02820231000209665,3,,2023-02-10,2023-02-07,2023-02-24,2023-02-10,2023-02-14,2023-02-26,"IMPORTACION A CONSUMO",,CEC202377890017,CEC20237789001700030000,19,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","377,850.00",0.00,0.00,"377,850.00",I-23-0000144,0.00,"378,675.00","825,000.00",0.00,"825,000.00","KILOGRAMO BRUTO",0.46,825.00,TM,458.00,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CIF,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"2,432,754.00",0.00,0.00,"2,432,754.00","4,018,372.00",0.00,"2,436,644.00",0.00,"5,956.50","336,176.00",,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.",BUZLUDJA,"02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","MTAPIAA-TAPIA ANDRADE MONICA DEL ROCIO",0000-00-00,"AFORO DOCUMENTAL",9993-OTROS,"Sector Quitumbe, calle S31 y Quipu, conjunto AsociaciÃ³n de Ayuda Mutua para el Bienestar Humano No. Oe2-204 S30., GUAYAQUIL",,
"PRECISAGRO S.A.",,,1792522005001,,3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA PERLADA, UREA PERLADA","SIN MARCA","SIN MODELO",02820231000209665,4,,2023-02-10,2023-02-07,2023-02-24,2023-02-10,2023-02-14,2023-02-26,"IMPORTACION A CONSUMO",,CEC202377890017,CEC20237789001700030000,19,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION","RUSSIAN FEDERATION","RUSSIAN FEDERATION",RUULU-UST-LUGA,MARITIMO,0.00,"05777783-STOREOCEAN S.A.","123,660.00",0.00,0.00,"123,660.00",I-23-0000345,0.00,"123,930.00","270,000.00",0.00,"270,000.00","KILOGRAMO BRUTO",0.46,270.00,TM,458.00,"kg, Kilogramo",0.00,DOL,"NITRON GROUP LLC",CIF,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI â Reformado por el Art. 24 de la Ley OrgÃ¡nica de SimplificaciÃ³n y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,,,,,,,,,,,,,"01902441: TORRES & TORRES AGENTES DE ADUANAS TTADAD C.A.",BUZLUDJA,"02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","MTAPIAA-TAPIA ANDRADE MONICA DEL ROCIO",0000-00-00,"AFORO DOCUMENTAL",9993-OTROS,"Sector Quitumbe, calle S31 y Quipu, conjunto AsociaciÃ³n de Ayuda Mutua para el Bienestar Humano No. Oe2-204 S30., GUAYAQUIL",,
"FERMAGRI S.A.",,,1791401344001,"FERMAGRI S.A.",3102.10.10.00,0000,0001,"Con un porcentaje de nitrógeno superior o igual a 45% pero inferior o igual a 46% en  peso (calidad fertilizante)","UREA, NO APLICA","SIN MARCA","SIN MODELO",02820231000220174,1,,2023-02-13,2023-01-04,2023-02-15,2023-02-13,2023-02-13,2023-02-19,"IMPORTACION A CONSUMO",,CEC202377890009,CEC20237789000900020000,8,"GUAYAQUIL MARITIMO","RUSSIAN FEDERATION",FINLAND,FINLAND,FIKTK-KOTKA,MARITIMO,0.00,"05904088-QC TERMINALES ECUADOR S. A. QCTE","2,634,500.00",0.00,"31,075.00","2,665,575.00",I-23-0000076,"2,634,500.00","2,665,575.00","5,500,000.00",0.00,"5,500,000.00","KILOGRAMO BRUTO",0.48,"5,500.00",TM,479.00,"kg, Kilogramo",0.00,DOL,NITRON,CIF,"0640-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO IVA, APLICA TEXTO LEGAL # 4 ART. 55 LRTI  Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresividad Tributaria (31-DIC-2019)",NUEVO,,ECUADOR,"2,634,500.00",0.00,"31,075.00","2,665,575.00","5,500,000.00",0.00,"2,665,575.00",0.00,0.00,"473,000.00",,,"01900118: ALBARRACIN BOSCH RAMON GONZALO",LABRADOR,"02777789-HANSAMARITIME S.A.","02777789-HANSAMARITIME S.A.","MAROSAL-ROSALES PRADO MAYDA MATILDE",0000-00-00,"AFORO DOCUMENTAL","5190-VENTA AL POR MAYOR DE OTROS PRODUCTOS","KM. 16 VIA A DAULE CALLE ROSAVIN Y ASBESTOS",,
