,Año,Mes,TOTAL KGS NETO
77,2016,4,73594215.51942645
96,2017,11,70305457.02587649
69,2014,11,68880007.33333334
158,2023,12,65715469.062288135
57,2013,11,59400544.0
122,2020,10,55136993.11606511
9,2009,10,54327081.730000004
76,2016,3,53680860.022405945
97,2017,12,52209764.64
16,2010,5,51699015.0
124,2020,12,49313112.50389243
157,2023,11,48746859.70346585
155,2023,9,47092140.59759377
133,2021,9,46101002.24203822
44,2012,10,44353769.668667324
68,2014,10,43574556.23111111
85,2016,12,43093009.12101911
2,2009,3,42706990.0
151,2023,4,41514201.31
13,2010,2,41161823.0
61,2014,3,40864011.80250955
30,2011,8,40726207.8
121,2020,9,40594976.33828733
37,2012,3,40345874.82608695
24,2011,2,39712211.0
128,2021,4,38920967.777777776
25,2011,3,38201369.39
146,2022,11,38093725.24152543
23,2011,1,37871544.0
136,2021,12,35359017.53180142
45,2012,11,35031548.04910523
17,2010,7,32580239.0
149,2023,2,32224119.6
162,2024,4,32029743.181272265
7,2009,8,31222725.922614817
34,2011,12,30884410.7
108,2018,11,30703890.0
90,2017,5,30604395.0
168,2024,10,30538369.61244604
105,2018,8,30274330.560509555
156,2023,10,30215284.706363637
84,2016,11,29624967.5
41,2012,7,28889748.0
129,2021,5,28879060.125688072
14,2010,3,28331141.0
150,2023,3,28303323.527777776
148,2023,1,28251210.0
118,2020,6,28025913.686197627
42,2012,8,27768402.6
123,2020,11,27766000.0
152,2023,5,27459205.662288137
154,2023,8,27039228.110509552
33,2011,11,26777477.29
167,2024,9,26217258.50200634
54,2013,8,26114479.866666667
116,2020,4,25341000.0
165,2024,7,25288910.0
147,2022,12,25180815.521753184
126,2021,2,24995439.12101911
74,2016,1,23707351.760509554
137,2022,1,23588619.12101911
26,2011,4,23551668.0
160,2024,2,23388862.620762713
107,2018,10,22441255.0
67,2014,9,22418952.101291865
11,2009,12,22353276.0
142,2022,7,22007638.42279769
32,2011,10,22000015.0
20,2010,10,21559993.0
35,2012,1,21098917.6
112,2019,12,20599370.560509555
59,2014,1,20426152.560509555
131,2021,7,20231760.0
28,2011,6,20042087.0
100,2018,3,18700182.560509555
127,2021,3,18548280.560509555
153,2023,6,18528000.0
125,2021,1,18255000.0
38,2012,4,17968648.58
104,2018,7,17795238.560509555
99,2018,2,17300876.5
4,2009,5,16869801.0
8,2009,9,16793184.60638298
3,2009,4,16502209.0
40,2012,6,16219960.0
75,2016,2,16083556.519426458
134,2021,10,15659650.0
115,2020,3,15649866.25
78,2016,5,15574184.560509555
170,2024,12,15541206.6
95,2017,10,15530210.0
51,2013,5,15529311.070509553
161,2024,3,15208942.620762711
48,2013,2,15066352.473553032
86,2017,1,14901241.0
103,2018,6,14697114.560509555
98,2018,1,13902013.97
106,2018,9,13744163.5
135,2021,11,13624990.0
117,2020,5,13378837.560509555
15,2010,4,13200820.0
163,2024,5,12999589.8
6,2009,7,12910800.0
79,2016,6,12320866.666666666
159,2024,1,11852145.925688073
55,2013,9,11379209.0
27,2011,5,11044899.8
93,2017,8,10901600.0
169,2024,11,10864989.75
120,2020,8,10674850.0
141,2022,6,10608599.681528661
109,2018,12,10477468.21
12,2010,1,10180000.0
88,2017,3,10131600.0
82,2016,9,9845200.0
91,2017,6,9745317.0
94,2017,9,9734611.746666666
22,2010,12,9389430.88
89,2017,4,9142053.86
132,2021,8,9119800.0
21,2010,11,9014617.91
46,2012,12,8842105.38
81,2016,8,8027861.356666666
92,2017,7,7488236.516666667
58,2013,12,7385445.121019108
101,2018,4,7234578.780509554
47,2013,1,6856205.121019108
139,2022,3,6599521.0
83,2016,10,6433981.35
10,2009,11,5896000.0
70,2014,12,5874599.65
140,2022,4,5858100.0
36,2012,2,5829000.0
60,2014,2,5822183.377777778
144,2022,9,5698124.275
80,2016,7,5434527.817176221
164,2024,6,5247220.0
130,2021,6,5043800.0
73,2015,12,4961090.0
113,2020,1,4940184.0
119,2020,7,4911948.251376146
53,2013,7,4494153.5005095545
102,2018,5,4231556.0
63,2014,5,3513706.0
43,2012,9,3407990.251376147
31,2011,9,3339976.0
87,2017,2,2755000.0
138,2022,2,2479000.0
66,2014,8,2122696.0
166,2024,8,1598000.0
72,2015,11,1552500.0
56,2013,10,1249430.0
111,2019,11,1160000.0
64,2014,6,1092508.0
114,2020,2,1064550.0
29,2011,7,600518.69
49,2013,3,589258.18
145,2022,10,576000.0
0,2008,10,575000.0
5,2009,6,400000.0
19,2010,9,360501.87
39,2012,5,350550.0
110,2019,1,319278.17
1,2009,2,240000.0
65,2014,7,55000.0
50,2013,4,42896.13
18,2010,8,40000.0
52,2013,6,33930.0
71,2015,1,29700.0
143,2022,8,1286.7
62,2014,4,275.67
